id,owner,created,modified,title,type,description,tags,snippet,categories,accessInformation,licenseInfo,culture,url,access,license,source,extent,industries
"7859894afb5641ce91a2bb03599fdf5b","MBTAHUB_ADMIN","Thu, 11 Aug 2022 20:35:04 GMT","Thu, 19 Mar 2026 20:20:04 GMT","MBTA Gated Station Entries - Historical","CSV Collection","This file contains the count of unscaled station entries for gated MBTA subway, Silver Line and light rail stations by service date and 30-minute period. To note: A service date is defined as 3:00AM – 2:59AM (2:59AM the next day). An entry is measured as a successful smart card tap, credit card tap, or ticket insertion recorded at a faregate. Entries are unscaled and so do not take into account non-interaction with the fare gate (e.g. children or other free passengers, fare evasion, etc.). Entries are only provided for times when the station is open. Employee taps are included in this data. This data does not represent total ridership at a station. Faregates are held open at times for special events or emergencies and entries are not captured accurately during those times. Files are separated by calendar year for previous years, and by month for the current calendar year. Due to data issues, data is not guaranteed to be complete for any stop or date. The following explanation of ""split stations"" only applies to those stations in the MBTA system that service multiple rapid transit lines. Since validated gated entries only determine that a person entered a station, it cannot be used to determine the number of passengers that use a specific line in stations that service multiple lines. To adjust for this, we rely on Central Transportation Planning Staff (CTPS) surveys that gather passenger behavior to develop ""split factors."" These factors determine the proportion of passengers that board each of the available lines in a split station after entry. For example, at Government Center, passengers tap and enter through the main gates and may choose to take the blue line or the green line. According to the surveys, we assume that about 90% of Government Center entrants ride the green line and the remaining 10% take the blue line. For the split stations in this dataset, the entries will show up to one decimal point to account for the factors and reduce rounding error when aggregating. It will also create two rows in the dataset for the station, one for each line.

Data Dictionary: Name Description Data Type Example service_date The service date of the gated station entries. Times that are within the service date, but after midnight, are listed as ocurring on the previous calendar date, e.g. entries between 12:00:00AM - 12:30:00AM on Jan 2, 2020 is listed as '2020/01/01 12:00 AM'. Date 2019/12/31, 12:00 AM time_period The start time of the 30-minute time period, in 24-hour time. Periods starting after 11:59 PM are represented as 00:00 plus their 24-hour time. For example, 1:30:00AM - 1:59:59AM is listed as '01:30:00'. String 01:30:00 stop_id GTFS-compatible stop for which gated station entries should be returned; usually provided as the parent station id. String place_wondl station_name GTFS-compatible station for which gated station entries should be returned. String Wonderland route_or_line Description of the route or service provided. String Blue Line gated_entries Property of “Gated Station Entries”. Unscaled station entries for gated heavy rail and light rail stations for date and 30-minute increment. Integer 324 MassDOT/MBTA shall not be held liable for any errors in this data. This includes errors of omission, commission, errors concerning the content of the data, and relative and positional accuracy of the data. This data cannot be construed to be a legal document. Primary sources from which this data was compiled must be consulted for verification of information contained in this data.","MBTA,Ridership,Rapid Transit,2022,2023,2024,2025,2026","This file contains the count of gated station entries for any station with service by year from 2014 to the present year. The present year's file contains data up to the most recent month that is available. The data is updated on a one- to two-month delay.","","","CC0","en-us",,"public","CC0-1.0","Massachusetts geoDOT","",""
"001c177f07594e7c99f193dde32284c9","MBTAHUB_ADMIN","Fri, 13 Mar 2020 18:22:20 GMT","Thu, 19 Mar 2026 20:12:37 GMT","MBTA Gated Station Entries","Feature Service","This file contains the count of unscaled station entries for gated MBTA subway, Silver Line and light rail stations by service date and 30-minute period. To note: A service date is defined as 3:00AM – 2:59AM (2:59AM the next day). An entry is measured as a successful credit card tap, smart card tap, or ticket insertion recorded at a faregate. Entries are unscaled and so do not take into account non-interaction with the fare gate (e.g. children or other free passengers, fare evasion, etc.). Entries are only provided for times when the station is open. Employee taps are included in this data. This data does not represent total ridership at a station. Faregates are held open at times for special events or emergencies and entries are not captured accurately during those times. Files are separated by calendar year for previous years, and by month for the current calendar year. Due to data issues, data is not guaranteed to be complete for any stop or date. The following explanation of ""split stations"" only applies to those stations in the MBTA system that service multiple rapid transit lines. Since validated gated entries only determine that a person entered a station, it cannot be used to determine the number of passengers that use a specific line in stations that service multiple lines. To adjust for this, we rely on Central Transportation Planning Staff (CTPS) surveys that gather passenger behavior to develop ""split factors."" These factors determine the proportion of passengers that board each of the available lines in a split station after entry. For example, at Government Center, passengers tap and enter through the main gates and may choose to take the blue line or the green line. According to the surveys, we assume that about 90% of Government Center entrants ride the green line and the remaining 10% take the blue line. For the split stations in this dataset, the entries will show up to one decimal point to account for the factors and reduce rounding error when aggregating. It will also create two rows in the dataset for the station, one for each line. MassDOT/MBTA shall not be held liable for any errors in this data. This includes errors of omission, commission, errors concerning the content of the data, and relative and positional accuracy of the data. This data cannot be construed to be a legal document. Primary sources from which this data was compiled must be consulted for verification of information contained in this data.","MBTA,Ridership,Rapid Transit,2024,2025,2026","This file contains the count of gated station entries for any station with service for the last two years up to the most recent month that is available. The data is updated on a one- to two-month delay. See MBTA Gated Station Entries - Historical for data by year from 2014 to present.","","Massachusetts Bay Transportation Authority","CC0",,"https://services1.arcgis.com/ceiitspzDAHrdGO1/arcgis/rest/services/GSE/FeatureServer","public","CC0-1.0","Massachusetts geoDOT","-71.44352499999879,42.18607399999928,-70.7109569999988,42.45707199999927",""
"a15bbd44359840fa95423052980dc89d","MBTAHUB_ADMIN","Thu, 16 Oct 2025 17:29:13 GMT","Mon, 16 Mar 2026 14:59:21 GMT","MBTA Service Customer Satisfaction","CSV","","MBTA","This file contains the survey results to track customer satisfaction with the service, reliability, and communication of the MBTA.","","","","en-us",,"public",,"Massachusetts geoDOT","",""
"fffd5e8ff7f042deb7834f3badf49e58","MBTAHUB_ADMIN","Fri, 06 Feb 2026 16:30:52 GMT","Fri, 06 Mar 2026 17:06:21 GMT","MBTA Rapid Transit Headways 2026","CSV Collection","This file contains the headways, or time between the
departure time of the current trip and the departure time of the previous trip
from the same stop, for rapid transit vehicles. It
includes all heavy rail and light rail rapid transit lines. For Red and
Green lines, both trunk (e.g. all Green line trains) and branch
(e.g. Green-B trains) headways are included. For lines without branches (e.g.
Blue line), branch route ID and branch headway will be NULL. Due to track circuit or other data issues, data is not
guaranteed to be complete for any stop or date.

Data Dictionary

Each
row represents a unique service_date-trip_id-stop_id pair
for rail service.

field name

type

description

source

example

service_date

date

equivalent
to GTFS-RT start_date value in Trip Descriptor as date instead
of string

GTFS-RT

2024-01-01

route_id

string

equivalent
to GTFS-RT route_id value in Trip Descriptor

GTFS-RT

Orange

trunk_route_id

string

line
if multiple routes exist on line, otherwise route_id, e.g. Green for Green-B route, Blue for Blue route

GTFS-RT

Green

branch_route_id

string

equivalent
to GTFS-RT route_id value in Trip Descriptor for
lines with multiple routes, NULL if line has single route,
e.g. Green-B for Green-B route, NULL for Blue route_id.

GTFS-RT

Green-B

trip_id

string

equivalent
to GTFS-RT trip_id value in Trip Descriptor

GTFS-RT

62248746

direction_id

int

equivalent
to GTFS-RT direction_id value in Trip Descriptor

GTFS-RT

0

direction

string

equivalent
to GTFS direction value
from directions.txt for route_id-direction_id pair

GTFS

East

parent_station

string

the parent_station associated
with the stop_id from stops.txt

GTFS

place-babck

stop_id

string

equivalent
to GTFS-RT stop_id value in VehiclePosition

GTFS-RT

70560

stop_name

string

equivalent
to GTFS stop_name from stops.txt for stop_id

GTFS

Babcock
Street

stop_departure_datetime

datetime

earliest ""IN_TRANSIT_TO"" OR
""INCOMING_AT"" status timestamp for a trip-stop pair from GTFS-RT VehiclePosition as an Eastern datetime.

GTFS-RT

11/1/2023 5:24:51 AM

stop_departure_sec

int

stop_departure_datetime as
seconds after midnight

LAMP
Calculated

20,517

headway_branch_seconds

int

seconds
between consecutive vehicles departing parent_station on branch_route_id

LAMP
Calculated

1,387

headway_trunk_seconds

int

seconds
between consecutive vehicles departing parent_station on trunk_route_id

LAMP
Calculated

311

Changes to the data:

Rapid Transit Events data is now sourced from Lightweight
Application for Measuring Performance (LAMP). To learn more about
LAMP, please visit LAMP Website.

The data changed as follows:

Trunk_route_id field
is added.

Branch_route_id field
is added.

Trip_id field
is added.

Direction field is
added.

Destination is now
replaced conceptually by branch_route_id.

Parent_station field
is added.

Stop_name field
is added.

Start_time_sec field
is no longer included (if needed can be calculated as stop_departure_seconds
- headway_*_seconds)

Stop_departure_datetime field
is added.

End_time_sec is now stop_departure_sec.

Headway_time_sec is changed
from long to wide and is now headway_branch_seconds and headway_trunk_seconds.

MassDOT/MBTA shall not be held liable for any errors in this
data. This includes errors of omission, commission, errors concerning the
content of the data, and relative and positional accuracy of the data. This
data cannot be construed to be a legal document. Primary sources from which
this data was compiled must be consulted for verification of information
contained in this data.","Headway,MBTA,Rapid Transit,System Data,Vehicle Location Data,2026","This file contains the headways, or time between the departure time of the current trip and the departure time of the previous trip from the same ""destination"", for rapid transit vehicles, for 2026.","","","CC0","en-us",,"public","CC0-1.0","Office of Performance Management & Innovation","-73.591907,41.166258,-69.752209,42.956414",""
"9d8a8cad277545c984c1b25ed10b7d3c","MBTAHUB_ADMIN","Tue, 10 Feb 2026 15:21:38 GMT","Thu, 05 Mar 2026 20:16:23 GMT","MBTA Bus Arrival Departure Times 2026","CSV Collection","This file contains the arrival and departure events for buses up to the most recent completed month of 2026. Due to data collection issues, data is not guaranteed to be complete for any stop or date. Data Dictionary: Name Description Data Type Example service_date Date on which the trip took place. Service dates run from around 2:00AM - 1:59:59AM Date 2019-12-31 route_id Route Id String 01 direction_id Identifies whether the trip is traveling inbound or outbound String Inbound half_trip_id Identification for the one way trip Integer 40836717 stop_id GTFS-compatible stop Integer 75 time_point_id The code for the timepoint String mit time_point_order The order of this timepoint in the trip Integer 4 point_type Identifies whether the stop is the starting point, midpoint, or endpoint for the trip String Midpoint standard_type Identifies whether the trip should be evaluated on the schedule standard or headway standard. String Headway scheduled The time the trip was scheduled to depart the stop. The scheduled time should not be used to evaluated reliability if this trip is evaluated on the headway standard. Only the headway and run time should be used per the Service Delivery Policy. Time 12:30 AM actual The time the trip actually departed the timepoint. Time 12:29 AM scheduled_headway The scheduled time between the trip and the previous trip at the stop, in seconds. NULL if this trip is evaluated on the schedule standard. Integer 1200 headway The actual time between the trip and the previous trip at the stop, in seconds. NULL if this trip is evaluated on the schedule standard or if this is the last stop on the trip (endpoint). Endpoints are evaluated by whether the trip runtime is within 120% of the scheduled run time. Integer 1163 MassDOT/MBTA shall not be held liable for any errors in this data. This includes errors of omission, commission, errors concerning the content of the data, and relative and positional accuracy of the data. This data cannot be construed to be a legal document. Primary sources from which this data was compiled must be consulted for verification of information contained in this data.","Bus,Headway,MBTA,System Data,Vehicle Location Data,2026","Arrival and Departure Times for MBTA Buses in 2026","","Massachusetts Bay Transportation Authority","CC0","en-us",,"public","CC0-1.0","Massachusetts geoDOT","0,0,0,0",""
"a6d2a50d28fc43d8a4f86f73085d17b0","MBTAHUB_ADMIN","Tue, 10 Feb 2026 16:29:25 GMT","Thu, 05 Mar 2026 20:09:39 GMT","MBTA Rapid Transit Events 2026","CSV Collection","This file contains the arrival and departure events for rapid transit rail lines for 2025. It
includes all heavy rail and light rail rapid transit lines. These events are
used to calculate travel times, dwell times, and headways. Due to track circuit
or other data issues, data is not guaranteed to be complete for any stop or
date.

Data Dictionary

Each
row represents a unique service_date-trip_id-stop_id-event unit for rail
service.

field name

type

description

source

example

service_date

date

equivalent
to GTFS-RT start_date value in Trip Descriptor as date instead
of string.

GTFS-RT

2024-01-01

route_id

string

equivalent
to GTFS-RT route_id value in Trip Descriptor.

GTFS-RT

Green-B

trunk_route_id

string

line if multiple routes exist on line, otherwise route_id,
e.g. Green for Green-B route, Blue for Blue route.

GTFS-RT

Green

trip_id

string

equivalent
to GTFS-RT trip_id value in Trip Descriptor.

GTFS-RT

ADDED-1581804432

direction_id

int

equivalent
to GTFS-RT direction_id value in Trip Descriptor.

GTFS-RT

0

direction

string

equivalent to GTFS direction value from directions.txt for route_id-direction_id pair.

GTFS

East

parent_station

string

the parent_station associated
with the stop_id from stops.txt.

GTFS

place-wascm

stop_id

string

equivalent
to GTFS-RT stop_id value in VehiclePosition.

GTFS-RT

70560

stop_name

string

equivalent to GTFS stop_name from stops.txt for stop_id.

GTFS

Washington
Street

sync_stop_sequence

int

stop sequence that is consistent across all branches of
a trunk_route_id for
a particular parent_station.

Lamp Calculated

3

vehicle_id

string

equivalent
to GTFS-RT id value in VehicleDescriptor.

GTFS-RT

R-545A9644

vehicle_label

string

equivalent
to GTFS-RT label value in VehicleDescriptor.

GTFS-RT

3830-3652

event_type

string

ARR:
""STOPPED_AT""
status for a trip-stop pair from GTFS-RT VehiclePosition.
DEP:
""IN_TRANSIT_TO"" OR ""INCOMING_AT"" status
for a trip-stop pair from GTFS-RT VehiclePosition.

GTFS-RT

ARR

event_time

datetime

For
ARR:
earliest
""STOPPED_AT"" status timestamp for a trip-stop pair from
GTFS-RT VehiclePosition or
last arrival timestamp from GTFS-RT StopTimeUpdate if
VehiclePosition value is not available as an Eastern datetime.
For
DEP:
earliest ""IN_TRANSIT_TO"" OR
""INCOMING_AT"" status timestamp for a trip-stop pair from GTFS-RT VehiclePosition as an Eastern datetime.

GTFS-RT

11/1/2023 5:24:51 AM

event_time_sec

int

event_time in
seconds after midnight.

LAMP
Calculated

30955

Changes to the data

Rapid Transit Events data is now sourced from Lightweight
Application for Measuring Performance (LAMP). To learn more about
LAMP, please visit LAMP website.

The data changed as follows:

Trunk_route_id field
is added.

Direction field is
added.

Parent_station field is
added.

Stop_name field
is added. Stop_id is now
string format.

Stop_sequence
is now sync_stop_sequence, please see LAMP documentation
for differences.

Event_time is now datetime
format.

MassDOT/MBTA shall not be held liable for any errors in this
data. This includes errors of omission, commission, errors concerning the
content of the data, and relative and positional accuracy of the data. This
data cannot be construed to be a legal document. Primary sources from which
this data was compiled must be consulted for verification of information
contained in this data.","MBTA,Transit,Events,2026","MBTA Rapid Transit Events in 2026","","Massachusetts Bay Transportation Agency","CC0","en-us",,"public","CC0-1.0","Massachusetts geoDOT","0,0,0,0",""
"d233f1820cf54139bd18e75e30dd2c6c","MBTAHUB_ADMIN","Tue, 10 Feb 2026 14:39:24 GMT","Thu, 05 Mar 2026 19:52:10 GMT","MBTA Service Alerts 2026","CSV Collection","Data Dictionary: Name Description Data Type Example alert_id Unique identifier for this Alert. Subsequent updates to it will have the same ID. integer 293631 cause Cause of this alert. string construction cause_detail Description of the cause of the alert that allows for agency-specific language; more specific than the Cause. string traffic effect The effect of this problem on the affected entity. string detour effect_detail Description of the effect of the alert that allows for agency-specific language; more specific than the Effect. string parking_issue severity_level The severity of the alert. string severe severity How severe the alert is from least (0) to most (10) severe. integer 5 header Header for the alert. string description Description for the alert string alert_lifecycle Whether the alert is in effect now, will be in the future, or has been for a while. string ongoing duration_certainty Whether the alert has a known, unknown, or estimated end. string estimated service_effect Brief summary of effect and affected service. string Route 131 delay timeframe_text Human readable summary of when service will be disrupted. string Wednesday through Friday recurrence_text Human readable summary of how active_period values are repeating (ex: “daily”, “weekdays”). string 2 days a week created_dt Creation time, in EST Datetime. date 2019-02-0110:02:13 last_modified_dt Last meaningful modification time, in EST Datetime. date 2020-01-2806:52:30 closed_dt Closed time, in EST Datetime date 2023-09-1807:20:24 active_period_start_date Start date when the alert should be shown to the user. date 2021-02-26 active_period_start_dt Start time when the alert should be shown to the user. date 2021-02-2610:00:00 active_period_end_dt End time when the alert should be shown to the user. date 2023-07-1309:14:56 last_push_notification_dt Time when message about alert has been sent to user date 2021-02-2611:23:00 route_id Route id of entities whose users we should notify of this alert. string CR-Haverhill route_type Route type of entities whose users we should notify of this alert. integer 2 direction_id Direction id for the entities whose users we should notify of this alert. integer 1 stop_id Stop id for the entity whose users we should notify of this alert. string 2827 facility_id Facility of the entity whose users we should notify of this alert. string subplat-WML-0340 activities Activity of the entity whose users we should notify of this alert. string Board|Exit MBTA Alerts data is sourced from Lightweight Application for Measuring Performance (LAMP). To learn more about LAMP, please visit LAMP website. MassDOT/MBTA shall not be held liable for any errors in this data. This includes errors of omission, commission, errors concerning the content of the data, and relative and positional accuracy of the data. This data cannot be construed to be a legal document. Primary sources from which this data was compiled must be consulted for verification of information contained in this data.","Alerts,MBTA,Performance,2026","This file contains the MBTA GTFS Realtime alerts for 2026.","","","","en-us",,"public",,"Office of Performance Management & Innovation","0,0,0,0",""
"ea10b2634f9945ac9fad0d50c956624a","MBTAHUB_ADMIN","Fri, 05 Apr 2019 13:06:36 GMT","Thu, 19 Feb 2026 14:52:21 GMT","MBTA Blue Book Open Data Portal","Hub Site Application","DO NOT DELETE OR MODIFY THIS ITEM. This item is managed by the ArcGIS Hub application. To make changes to this site, please visit https://hub.arcgis.com/admin/","Hub Site","","/Categories/Administrative/Gallerys","","","en","https://mbta-massdot.opendata.arcgis.com","public",,"Office of Performance Management & Innovation","-179.99999550841463,-88.99999992161116,179.99999550841463,88.99999992161116",""
"59b5c61e8e9f42f9a3745f7ad63d07d6","MBTAHUB_ADMIN","Mon, 27 Feb 2023 20:00:34 GMT","Tue, 17 Feb 2026 18:16:40 GMT","MBTA Commuter Rail Ridership by Service Date and Line","CSV","null","MBTA,Ridership,Commuter Rail","This data provides MBTA Commuter Rail Ridership estimates by service date and line. Values are not guaranteed to be complete for any line or service date. Weekday values are provided for dates June 2020 and later, and weekday and weekend values are provided for dates July 2021 and later. Estimates are based on scaled conductor counts.  ","","","","en-us",,"public",,"Massachusetts geoDOT","",""
"2048258a18354256a650d41f8fe4532c","MBTAHUB_ADMIN","Mon, 13 Jan 2025 17:56:08 GMT","Tue, 17 Feb 2026 18:15:38 GMT","MBTA Monthly Ridership By Mode and Line","Feature Service","For the data prior to July 2018, please visit archive.","MBTA,Ridership,Bus,Commuter Rail,Ferry,Rapid Transit,2022,2023,2024,The RIDE,2025","This file contains the total and average daily ridership per month by day type (e.g. weekday) and mode (Bus, Rapid Transit, Commuter Rail, Ferry, and the RIDE) and line (for Rapid Transit). The data is available from July 2018 to the most recent month.","","","CC0","en-us","https://services1.arcgis.com/ceiitspzDAHrdGO1/arcgis/rest/services/NTD_Reporting/FeatureServer","public","CC0-1.0","Massachusetts geoDOT","",""
